Indicator,Type,Year,Relevance
135.136.1[.]133,IP address,March 2026,Used by Iranian-affiliated APT actors to communicate with Rockwell Automation / Allen-Bradley PLCs
185.82.73[.]162,IP address,Jan 2025–Mar 2026,Same
185.82.73[.]164,IP address,Jan 2025–Mar 2026,Same
185.82.73[.]165,IP address,Jan 2025–Mar 2026,Same
185.82.73[.]167,IP address,Jan 2025–Mar 2026,Same
185.82.73[.]168,IP address,Jan 2025–Mar 2026,Same
185.82.73[.]170,IP address,Jan 2025–Mar 2026,Same
185.82.73[.]171,IP address,Jan 2025–Mar 2026,Same
